list_title,film_title,film_year,avg_rating,viewers,runtime,budget,revenue,film_url
Oscars,kramer vs kramer,1979,4.1,"257,279",105,"8,000,000.00","106,260,000.00",https://letterboxd.com/film/kramer-vs-kramer/
Oscars,ordinary people,1980,4.0,"84,974",124,"6,000,000.00","54,766,923.00",https://letterboxd.com/film/ordinary-people/
Oscars,chariots of fire,1981,3.4,"71,542",123,"5,500,000.00","58,972,904.00",https://letterboxd.com/film/chariots-of-fire/
Oscars,gandhi,1982,3.7,"143,089",191,"22,000,000.00","77,737,889.00",https://letterboxd.com/film/gandhi/
Oscars,terms of endearment,1983,3.8,"78,220",132,"8,000,000.00","108,423,749.00",https://letterboxd.com/film/terms-of-endearment/
Oscars,amadeus,1984,4.3,"695,358",160,"18,000,000.00","90,007,557.00",https://letterboxd.com/film/amadeus/
Oscars,out of africa,1985,3.4,"94,682",161,"31,000,000.00","227,514,205.00",https://letterboxd.com/film/out-of-africa/
Oscars,platoon,1986,4.0,"454,433",120,"6,000,000.00","138,530,565.00",https://letterboxd.com/film/platoon/
Oscars,the last emperor,1987,3.9,"135,596",163,"23,800,000.00","44,000,000.00",https://letterboxd.com/film/the-last-emperor/
Oscars,rain man,1988,3.9,"749,808",134,"25,000,000.00","354,825,435.00",https://letterboxd.com/film/rain-man/
Oscars,driving miss daisy,1989,3.3,"108,243",99,"7,500,000.00","145,793,296.00",https://letterboxd.com/film/driving-miss-daisy/
Oscars,dances with wolves,1990,3.9,"248,282",181,"22,000,000.00","424,208,848.00",https://letterboxd.com/film/dances-with-wolves/
Oscars,the silence of the lambs,1991,4.3,"3,614,722",119,"19,000,000.00","272,742,922.00",https://letterboxd.com/film/the-silence-of-the-lambs/
Oscars,unforgiven,1992,4.2,"389,236",130,"14,400,000.00","159,157,447.00",https://letterboxd.com/film/unforgiven/
Oscars,schindlers list,1993,4.5,"1,887,924",195,"22,000,000.00","321,365,567.00",https://letterboxd.com/film/schindlers-list/
Oscars,forrest gump,1994,4.2,"5,022,191",142,"55,000,000.00","677,387,716.00",https://letterboxd.com/film/forrest-gump/
Oscars,braveheart,1995,3.9,"780,118",177,"72,000,000.00","213,216,216.00",https://letterboxd.com/film/braveheart/
Oscars,the english patient,1996,3.6,"171,612",162,"27,000,000.00","231,976,425.00",https://letterboxd.com/film/the-english-patient/
Oscars,titanic 1997,1997,3.8,"4,423,181",194,"200,000,000.00","2,264,162,353.00",https://letterboxd.com/film/titanic-1997/
Oscars,shakespeare in love,1998,3.3,"249,188",123,"25,000,000.00","289,300,000.00",https://letterboxd.com/film/shakespeare-in-love/
Oscars,american beauty,1999,3.9,"1,710,845",122,"15,000,000.00","356,296,601.00",https://letterboxd.com/film/american-beauty/
Oscars,gladiator 2000,2000,4.2,"2,576,791",155,"103,000,000.00","465,516,248.00",https://letterboxd.com/film/gladiator-2000/
Oscars,a beautiful mind,2001,3.9,"938,742",135,"58,000,000.00","316,791,257.00",https://letterboxd.com/film/a-beautiful-mind/
Oscars,chicago,2002,4.0,"665,969",113,"45,000,000.00","306,776,732.00",https://letterboxd.com/film/chicago/
Oscars,the lord of the rings the return of the king,2003,4.5,"2,954,130",201,"94,000,000.00","1,118,888,979.00",https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
Oscars,million dollar baby,2004,4.0,"663,422",132,"30,000,000.00","216,763,646.00",https://letterboxd.com/film/million-dollar-baby/
Oscars,crash 2004,2004,3.0,"247,462",112,"6,500,000.00","98,400,000.00",https://letterboxd.com/film/crash-2004/
Oscars,the departed,2006,4.3,"1,885,616",151,"90,000,000.00","291,465,000.00",https://letterboxd.com/film/the-departed/
Oscars,no country for old men,2007,4.3,"2,486,329",122,"25,000,000.00","171,627,166.00",https://letterboxd.com/film/no-country-for-old-men/
Oscars,slumdog millionaire,2008,3.9,"1,084,126",120,"15,000,000.00","378,400,000.00",https://letterboxd.com/film/slumdog-millionaire/
Oscars,the hurt locker,2008,3.8,"479,512",131,"15,000,000.00","49,259,766.00",https://letterboxd.com/film/the-hurt-locker/
Oscars,the kings speech,2010,3.8,"807,110",118,"15,000,000.00","414,211,549.00",https://letterboxd.com/film/the-kings-speech/
Oscars,the artist,2011,3.8,"282,902",100,"15,000,000.00","133,432,856.00",https://letterboxd.com/film/the-artist/
Oscars,argo,2012,3.7,"712,688",120,"44,500,000.00","232,300,000.00",https://letterboxd.com/film/argo/
Oscars,12 years a slave,2013,4.2,"1,081,935",134,"20,000,000.00","187,000,000.00",https://letterboxd.com/film/12-years-a-slave/
Oscars,birdman or the unexpected virtue of ignorance,2014,4.0,"1,630,860",120,"18,000,000.00","103,215,094.00",https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/
Oscars,spotlight,2015,4.1,"837,347",129,"20,000,000.00","98,690,254.00",https://letterboxd.com/film/spotlight/
